STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1479.83,608.40,311.23,163.47,398.67,1039.76,442.46,214.01,189.16,156.40,97.17,57.65,43.42,51.13,68.92,89.50,131.84,177.33,203.30
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1513.50,593.53,343.86,205.47,368.81,1021.92,489.60,215.60,192.29,160.88,116.05,74.98,63.02,65.19,77.26,94.23,114.92,159.65,197.09
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3225.91,1083.48,749.51,430.67,956.43,2007.80,1208.03,384.30,321.71,350.27,236.38,162.85,118.49,128.75,183.43,255.38,359.12,341.93,383.28
BATHURST-AGRICULTURAL-STATION,063005,-33.43,149.56,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1432.13,610.45,314.08,119.33,389.39,1027.68,406.23,225.92,168.59,152.55,98.51,63.01,35.03,40.20,60.43,87.34,136.54,165.50,214.83
BIRDSVILLE-AIRPORT,038026,-25.9,139.35,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3077.25,1069.06,798.35,389.13,882.13,1982.58,1102.90,404.01,318.85,387.33,262.67,161.49,114.77,118.35,161.92,242.53,326.05,366.49,396.75
BOULIA-AIRPORT,038003,-22.91,139.9,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3860.40,1112.86,932.46,645.73,1167.05,2197.72,1662.03,416.11,324.87,395.91,315.08,241.26,187.09,207.24,275.54,356.13,418.92,392.00,410.98
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2714.88,696.30,660.58,593.96,763.42,1403.07,1310.69,259.39,185.94,227.98,228.56,226.87,174.53,193.90,225.54,224.46,265.39,273.56,273.85
BURKETOWN-POST-OFFICE,029004,-17.74,139.55,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2389.08,554.31,562.24,567.75,707.76,1151.74,1242.39,197.54,154.19,180.50,193.25,197.52,167.47,184.28,216.00,227.40,249.73,230.63,221.77
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2290.12,570.31,537.04,499.90,683.99,1157.93,1133.12,215.03,159.11,185.59,177.82,182.92,160.76,164.85,182.53,207.28,243.02,233.69,210.96
CARNARVON-AIRPORT,006011,-24.88,113.67,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2672.27,909.54,651.46,386.10,724.91,1673.64,998.04,313.32,287.49,280.59,215.35,155.52,119.53,118.31,154.17,197.61,258.82,282.61,309.00
CEDUNA-AMO,018012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2323.75,832.33,527.98,311.35,650.60,1504.29,816.86,290.56,255.30,242.49,168.31,117.18,86.05,103.74,121.57,161.86,226.47,262.27,287.95
CHARLEVILLE-AERO,044021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2738.55,953.87,617.54,368.33,799.64,1734.26,1006.56,366.10,255.66,275.70,197.43,144.41,101.48,114.00,152.85,214.27,279.55,305.82,331.28
COBAR-MO,048027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2696.46,1047.65,578.26,308.50,764.14,1818.76,880.47,407.36,270.35,284.82,179.10,114.35,85.18,101.10,122.21,193.90,263.74,306.51,367.86
COFFS-HARBOUR-MO,059040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1704.64,572.90,365.64,264.13,504.39,1029.98,677.83,212.70,162.12,152.00,121.06,92.58,72.16,80.41,111.56,141.79,179.33,183.28,195.65
CONDOBOLIN-AG-RESEARCH-STN,050052,-33.07,147.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1946.02,862.81,445.35,197.72,520.68,1377.53,566.68,313.52,245.42,223.31,135.27,86.77,52.91,59.71,85.10,114.27,182.89,223.52,302.52
DARWIN-AIRPORT,014015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2575.03,562.26,628.52,672.32,711.04,1182.01,1392.48,194.07,162.07,197.11,208.12,233.70,218.61,222.00,231.71,239.33,247.14,224.56,207.02
EAST-SALE-AIRPORT,085072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1411.76,555.47,295.14,173.60,389.56,956.91,456.85,199.83,160.86,137.56,99.05,58.53,46.08,53.52,74.01,93.56,131.15,164.85,192.76
ESPERANCE,009789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1704.44,630.85,388.86,241.26,440.74,1118.25,583.07,216.92,197.54,174.42,130.44,84.00,74.71,76.26,90.29,112.62,145.19,182.94,219.12
GERALDTON-AIRPORT-COMPARISON,008051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2480.40,953.78,628.67,308.99,589.04,1700.77,779.73,331.25,312.50,278.02,207.70,142.95,112.54,96.18,100.27,130.13,197.66,261.25,309.96
GILES-METEOROLOGICAL-OFFICE,013017,-25.04,128.29,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3578.66,1222.70,812.04,495.27,1044.89,2240.53,1334.38,427.33,369.71,376.13,255.49,180.41,135.15,152.85,207.26,278.69,380.02,386.18,429.43
GUNNEDAH-RESOURCE-CENTRE,055024,-31.03,150.27,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2007.99,748.73,462.57,234.87,563.38,1337.10,671.48,279.27,208.29,212.06,154.87,108.82,63.69,71.87,99.32,137.71,195.51,230.16,259.61
HALLS-CREEK-AIRPORT,002012,-18.23,127.66,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3128.23,783.40,764.51,623.65,957.13,1637.30,1497.48,267.74,205.27,273.03,249.37,242.10,180.99,194.83,247.83,290.59,341.14,325.41,326.24
KALGOORLIE-BOULDER-AIRPORT,012038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2619.40,1051.80,524.27,296.88,743.97,1786.93,829.49,378.20,303.46,266.28,170.85,100.46,82.61,95.41,118.86,172.33,259.82,311.82,372.61
LAKE-EILDON,088023,-37.23,145.91,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1007.52,452.87,218.32,76.66,260.47,758.83,250.64,165.37,134.34,115.08,70.43,32.80,22.63,21.26,33.90,53.16,88.02,119.30,152.35
LEARMONTH-AIRPORT,005007,-22.24,114.1,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3167.87,1093.36,748.86,448.13,875.69,1987.57,1179.75,399.48,311.84,317.02,254.41,177.43,125.95,137.82,184.36,234.72,319.47,338.42,383.88
LONGREACH-AERO,036031,-23.44,144.28,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3080.21,963.65,702.61,494.19,920.93,1823.22,1259.05,361.25,256.21,286.69,237.46,178.46,141.34,158.29,194.56,260.91,325.49,334.53,345.02
MEEKATHARRA-AIRPORT,007045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3466.73,1317.48,779.82,409.89,957.91,2330.62,1136.99,501.26,362.42,375.20,238.35,166.27,116.12,122.94,170.83,230.50,330.33,397.08,455.43
MERREDIN,010092,-31.48,118.28,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1976.05,874.27,444.21,206.52,542.57,1492.59,575.72,318.19,266.77,225.60,148.41,83.05,67.84,65.61,76.84,118.03,182.89,251.81,307.57
MILDURA-AIRPORT,076031,-34.23,142.08,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2181.84,892.79,454.61,235.96,602.66,1502.53,682.32,314.79,263.93,226.79,140.79,87.03,62.18,71.27,102.51,133.78,225.55,243.33,309.89
MOREE-AERO,053115,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2374.87,881.87,536.03,282.70,674.68,1557.64,815.96,333.37,241.47,239.69,172.83,123.51,78.69,84.58,119.44,169.63,240.11,264.94,306.62
MOUNT-GAMBIER-AERO,026021,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1318.21,540.72,290.62,150.19,337.22,926.92,392.54,195.68,170.85,145.59,90.92,54.11,38.65,46.34,65.20,79.54,108.70,148.98,173.66
MOUNT-ISA-AERO,029127,-20.68,139.49,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3108.03,844.58,766.87,569.98,928.51,1712.90,1398.69,303.92,234.92,284.14,272.10,210.63,162.51,180.16,235.44,278.31,339.78,310.42,303.82
NURIOOTPA-VITICULTURAL,023373,-34.48,139.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1882.95,802.60,422.15,185.90,476.07,1364.91,522.68,283.47,254.65,211.59,132.86,77.70,49.80,57.85,78.25,99.12,159.96,216.99,260.70
ONGERUP,010622,-33.96,118.49,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1631.51,671.48,360.28,173.75,424.42,1156.28,472.80,231.29,213.66,170.22,121.56,68.50,55.28,54.16,67.70,98.16,139.35,193.87,228.12
PERTH-AIRPORT,009021,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2147.92,909.59,484.66,218.51,534.17,1545.06,602.46,317.44,279.98,238.86,153.62,92.18,70.32,67.63,80.56,118.47,173.30,242.40,313.16
PORT-HEDLAND-AIRPORT,004032,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3412.59,979.99,835.29,652.37,942.23,1922.53,1485.40,345.83,275.32,312.60,283.66,239.03,196.77,213.59,242.02,264.15,329.85,348.23,361.54
RABBIT-FLAT,015666,-20.18,130.01,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2814.68,779.86,671.15,496.66,862.90,1561.35,1246.85,280.52,193.80,265.26,222.95,182.95,137.58,153.44,205.63,258.21,309.03,295.66,309.65
REDLANDS-HRS,040265,-27.53,153.25,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1445.33,452.75,318.95,233.40,463.09,852.50,594.61,199.88,154.92,147.05,110.02,80.98,69.23,68.52,95.66,122.87,165.45,174.78,182.84
ROCKHAMPTON-AERO,039083,-23.38,150.48,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2330.14,714.63,542.56,391.44,679.68,1356.78,969.39,258.67,210.50,229.45,176.26,136.84,117.02,123.00,151.43,191.96,249.15,238.57,247.28
RUTHERGLEN-RESEARCH,082039,-36.1,146.51,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1642.58,745.71,377.50,127.63,394.72,1237.01,409.82,284.13,221.09,191.67,120.30,65.52,32.73,37.37,61.04,81.98,134.69,187.43,261.63
SCONE-SCS,061089,-32.06,150.93,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1735.92,650.50,369.69,204.52,512.43,1143.68,592.48,238.48,183.21,168.18,120.42,81.09,53.37,62.44,91.37,129.38,177.50,205.56,227.59
STRATHGORDON-VILLAGE,097053,-42.77,146.04,r1i1p1,rcp26,CESM1-CAM5,2020-2039,806.25,325.67,164.27,97.89,217.57,546.76,258.54,119.14,107.72,79.87,52.85,31.55,26.76,28.64,42.50,54.78,74.32,98.30,116.85
SYDNEY-AIRPORT-AMO,066037,-33.94,151.17,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1923.55,674.35,402.40,293.06,555.22,1189.23,734.39,241.15,192.06,175.48,129.95,96.96,79.50,88.39,125.17,154.08,190.29,210.85,239.66
TENNANT-CREEK-AIRPORT,015135,-19.64,134.18,r1i1p1,rcp26,CESM1-CAM5,2020-2039,4020.99,1062.28,999.79,770.16,1189.12,2173.70,1849.87,377.65,292.28,377.51,336.41,285.87,218.00,244.27,307.89,359.84,434.01,395.27,391.98
THARGOMINDAH-AIRPORT,045025,-28.0,143.82,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3317.84,1205.69,765.54,414.35,931.95,2160.22,1157.88,461.91,322.85,340.33,256.95,168.27,114.24,126.83,182.40,258.63,316.63,356.69,421.23
TOTTINGTON,079079,-36.79,143.12,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1469.32,620.94,329.95,123.75,362.24,1042.01,372.36,234.23,199.90,168.43,102.48,59.04,31.59,37.79,54.37,71.71,124.41,172.67,231.57
TOWNSVILLE-AERO,032040,-19.25,146.77,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2651.64,735.75,621.73,515.79,779.62,1448.12,1205.39,272.55,209.35,234.22,207.44,180.08,157.72,164.77,193.30,231.38,278.14,270.10,263.07
WAGGA-WAGGA-AMO,072150,-35.16,147.46,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1916.74,853.10,448.64,155.46,462.43,1433.02,487.17,313.20,247.34,225.58,138.92,84.14,43.30,43.54,68.61,90.92,156.65,214.86,289.68
WEIPA-AERO,027045,-12.68,141.92,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2523.32,514.80,556.64,642.24,810.10,1139.35,1385.50,194.10,136.67,171.15,186.34,199.16,192.16,208.53,241.55,257.10,287.00,265.99,207.62
WILLIAMTOWN-RAAF,061078,-32.79,151.84,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1806.60,635.89,363.77,275.87,533.03,1111.73,696.96,233.08,186.71,154.72,119.20,89.85,77.35,84.72,113.80,145.80,185.44,201.79,223.49
WITTENOOM,005026,-22.24,118.34,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3179.08,1059.47,696.59,446.19,969.17,1961.95,1208.68,381.03,275.29,304.77,226.01,165.80,121.05,143.68,181.46,256.71,352.81,392.09,410.80
WOOMERA-AERODROME,016001,-31.16,136.81,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3309.28,1283.73,730.98,386.62,908.60,2230.61,1077.00,463.96,397.92,354.38,226.29,150.32,104.96,127.51,159.41,227.74,312.32,368.54,421.21
WURDIBOLUC-RESERVOIR,087126,-38.28,144.05,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1470.75,537.01,328.60,178.28,388.84,941.31,470.93,204.88,170.73,152.99,107.13,68.48,48.03,57.46,76.83,93.67,130.48,164.68,199.41
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1500.00,617.35,319.36,158.73,406.48,1055.73,446.66,219.88,192.70,158.27,99.76,61.34,43.66,48.66,66.41,95.16,131.44,179.88,202.86
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1551.28,615.32,347.31,209.24,377.52,1049.74,499.51,223.87,200.11,160.17,119.37,75.77,62.94,66.93,79.37,97.11,117.39,163.03,203.24
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3349.80,1203.59,768.75,408.94,962.12,2159.24,1179.73,429.43,357.84,364.30,241.87,162.58,110.80,126.36,171.78,259.59,348.63,353.90,422.73
BATHURST-AGRICULTURAL-STATION,063005,-33.43,149.56,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1490.69,650.17,324.14,121.31,396.23,1080.89,411.63,235.41,190.98,157.06,103.10,63.98,36.18,40.99,60.80,86.59,139.75,169.90,222.62
BIRDSVILLE-AIRPORT,038026,-25.9,139.35,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3186.87,1198.49,789.47,386.76,880.60,2102.49,1093.19,470.35,359.63,387.08,252.06,162.94,112.02,117.75,162.88,244.68,314.53,374.57,425.61
BOULIA-AIRPORT,038003,-22.91,139.9,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3951.58,1234.10,931.82,635.80,1147.46,2321.09,1629.78,468.18,381.70,414.76,292.86,244.94,185.84,208.33,265.31,356.81,392.23,398.41,427.06
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2709.12,706.56,628.89,601.95,771.11,1389.64,1318.38,251.09,207.50,207.97,227.90,214.81,182.72,193.82,225.41,234.82,266.80,269.49,271.51
BURKETOWN-POST-OFFICE,029004,-17.74,139.55,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2399.95,542.58,565.83,578.42,715.92,1151.41,1253.43,196.14,156.34,192.60,189.76,193.10,173.12,188.59,216.71,232.58,249.34,234.00,208.11
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2295.71,565.07,536.91,512.77,682.08,1157.18,1139.46,213.72,156.54,193.40,177.13,176.05,162.12,167.29,191.73,211.07,239.57,231.44,209.33
CARNARVON-AIRPORT,006011,-24.88,113.67,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2699.25,934.77,639.30,395.40,729.52,1684.46,1014.18,328.36,293.20,268.52,209.73,161.04,124.24,122.21,155.06,199.07,258.68,286.08,313.47
CEDUNA-AMO,018012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2384.44,857.35,541.97,312.40,671.22,1545.50,836.28,304.36,262.27,244.00,173.88,124.08,86.70,103.09,122.61,172.22,227.58,271.42,292.23
CHARLEVILLE-AERO,044021,-26.42,146.25,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2833.24,1002.34,639.79,369.71,822.25,1809.86,1025.67,392.52,266.90,296.74,204.16,138.89,101.73,111.40,156.58,224.45,292.62,305.18,342.07
COBAR-MO,048027,-31.49,145.83,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2833.75,1126.39,609.26,309.53,790.70,1942.62,893.97,461.90,288.07,300.80,194.29,114.17,86.11,100.72,122.70,198.50,271.78,320.43,374.29
COFFS-HARBOUR-MO,059040,-30.31,153.12,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1738.15,595.40,373.87,266.39,505.04,1062.68,678.76,214.91,173.27,157.69,122.36,93.82,73.70,82.44,110.25,136.27,182.29,186.48,204.67
CONDOBOLIN-AG-RESEARCH-STN,050052,-33.07,147.23,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2051.23,925.73,471.20,201.46,538.26,1468.00,581.27,345.69,274.58,232.53,146.87,91.80,55.61,59.66,86.20,119.27,184.17,234.82,304.09
DARWIN-AIRPORT,014015,-12.42,130.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2542.90,555.57,613.49,665.86,707.10,1165.02,1377.36,197.57,157.33,193.24,202.98,227.43,216.36,220.59,228.92,241.47,242.60,223.03,201.54
EAST-SALE-AIRPORT,085072,-38.12,147.13,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1419.68,557.83,294.67,170.75,398.42,961.04,460.61,202.35,163.92,136.74,98.61,59.33,45.03,52.64,73.08,100.81,129.73,167.88,189.58
ESPERANCE,009789,-33.83,121.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1729.47,656.50,375.39,240.13,454.70,1135.87,590.44,231.10,206.44,166.27,124.52,84.59,73.19,75.24,91.69,118.27,147.44,188.99,221.71
GERALDTON-AIRPORT-COMPARISON,008051,-28.8,114.7,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2477.11,957.87,623.94,311.32,584.05,1692.54,784.67,335.97,309.00,269.11,208.45,146.38,112.47,98.63,100.22,127.39,199.58,257.08,312.83
GILES-METEOROLOGICAL-OFFICE,013017,-25.04,128.29,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3656.82,1299.56,818.41,488.52,1046.24,2324.70,1328.05,459.42,377.28,372.79,264.17,181.45,131.49,156.76,200.26,284.10,373.98,388.15,466.95
GUNNEDAH-RESOURCE-CENTRE,055024,-31.03,150.27,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2080.18,799.11,479.97,241.05,561.70,1405.01,675.84,289.36,234.20,223.08,162.38,108.04,67.11,73.82,100.11,133.22,198.93,229.54,273.90
HALLS-CREEK-AIRPORT,002012,-18.23,127.66,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3193.65,830.47,767.06,636.01,960.57,1686.15,1514.00,283.79,232.09,265.63,261.59,239.84,186.90,197.51,251.60,298.38,339.77,322.43,330.65
KALGOORLIE-BOULDER-AIRPORT,012038,-30.78,121.45,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2632.27,1079.51,498.38,296.18,755.70,1789.25,840.03,401.04,306.89,245.31,165.17,100.16,82.03,95.90,118.26,178.73,264.95,312.02,374.08
LAKE-EILDON,088023,-37.23,145.91,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1031.55,466.75,219.37,77.35,268.90,780.44,253.14,166.78,142.88,115.17,72.66,31.55,21.55,22.03,34.85,56.97,87.27,124.66,156.25
LEARMONTH-AIRPORT,005007,-22.24,114.1,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3201.04,1122.35,739.69,459.94,877.23,2006.97,1193.54,403.03,339.51,306.02,252.82,180.86,131.67,142.86,185.41,236.10,316.64,341.57,381.63
LONGREACH-AERO,036031,-23.44,144.28,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3149.00,999.19,720.59,494.97,935.40,1888.93,1262.13,386.13,274.85,307.12,235.32,178.15,141.90,158.38,194.69,268.36,320.66,346.38,337.08
MEEKATHARRA-AIRPORT,007045,-26.61,118.54,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3478.06,1343.74,735.55,418.54,978.65,2333.00,1146.07,506.90,397.83,344.34,233.72,157.49,119.28,132.78,166.47,232.71,337.32,408.62,440.59
MERREDIN,010092,-31.48,118.28,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2002.99,898.90,443.23,208.10,545.68,1516.26,580.39,332.75,275.51,224.22,146.85,85.05,67.13,66.48,78.22,118.05,184.16,253.71,308.99
MILDURA-AIRPORT,076031,-34.23,142.08,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2226.88,913.47,477.57,228.88,611.22,1550.76,679.17,324.06,268.41,235.26,149.59,92.72,61.97,67.90,99.01,139.51,218.06,253.65,316.74
MOREE-AERO,053115,-29.49,149.85,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2460.03,928.40,564.40,287.36,680.30,1633.82,824.95,345.18,268.97,259.19,183.32,121.90,80.52,86.51,120.34,169.36,246.32,264.61,313.83
MOUNT-GAMBIER-AERO,026021,-37.75,140.77,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1355.02,552.92,301.71,152.32,348.61,947.08,409.21,202.25,172.76,147.12,96.22,58.37,40.54,46.96,64.82,87.58,110.94,150.09,177.37
MOUNT-ISA-AERO,029127,-20.68,139.49,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3165.42,881.64,779.37,571.89,934.44,1767.32,1401.73,322.61,253.76,298.84,261.65,218.87,170.17,185.68,224.54,281.54,329.43,323.46,303.36
NURIOOTPA-VITICULTURAL,023373,-34.48,139.01,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1910.48,816.59,436.43,177.92,483.31,1392.98,522.16,290.87,261.15,218.34,135.36,82.73,49.79,54.13,74.01,104.15,157.36,221.80,260.79
ONGERUP,010622,-33.96,118.49,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1667.83,703.90,355.34,175.28,431.66,1186.13,479.20,246.05,223.57,167.05,118.38,69.91,53.72,55.06,70.01,99.51,141.59,197.65,235.92
PERTH-AIRPORT,009021,-31.93,115.98,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2170.97,915.60,499.45,221.16,533.76,1564.76,605.79,316.36,283.94,247.58,158.77,93.10,68.69,69.71,82.76,115.87,175.66,242.23,316.30
PORT-HEDLAND-AIRPORT,004032,-20.37,118.63,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3405.86,999.42,805.25,651.34,947.18,1916.86,1484.37,340.52,304.57,285.90,283.64,235.71,199.41,209.16,242.78,267.35,329.98,349.86,357.00
RABBIT-FLAT,015666,-20.18,130.01,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2871.90,841.13,659.62,497.06,869.90,1612.06,1253.26,302.54,226.17,248.34,228.06,183.23,139.19,154.12,203.75,266.70,306.28,296.92,316.62
REDLANDS-HRS,040265,-27.53,153.25,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1476.01,468.22,330.21,236.48,464.75,879.62,598.20,207.28,160.43,154.55,113.05,82.13,70.08,71.18,95.22,121.25,166.55,176.95,187.76
ROCKHAMPTON-AERO,039083,-23.38,150.48,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2226.89,686.84,518.79,370.49,648.98,1312.21,910.79,246.17,200.64,220.48,172.58,125.73,113.57,114.83,142.09,180.73,233.84,234.41,241.83
RUTHERGLEN-RESEARCH,082039,-36.1,146.51,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1690.03,775.96,382.43,129.82,404.85,1278.85,415.54,292.91,239.38,190.03,124.66,67.74,35.43,37.35,60.69,86.39,131.58,196.72,265.90
SCONE-SCS,061089,-32.06,150.93,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1796.51,694.14,379.19,207.37,517.11,1201.39,595.42,248.75,203.97,174.40,124.52,80.27,55.24,63.51,91.39,125.63,182.14,209.33,240.13
STRATHGORDON-VILLAGE,097053,-42.77,146.04,r1i1p1,rcp26,CESM1-CAM5,2040-2059,827.44,333.45,171.88,97.30,223.94,565.04,261.44,124.65,109.09,84.35,56.81,30.72,23.79,29.09,44.42,59.13,74.28,100.59,118.16
SYDNEY-AIRPORT-AMO,066037,-33.94,151.17,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1973.92,704.77,409.79,294.64,566.26,1232.85,741.15,251.41,203.89,178.01,134.56,97.23,81.15,90.11,123.38,152.71,196.57,216.98,247.94
TENNANT-CREEK-AIRPORT,015135,-19.64,134.18,r1i1p1,rcp26,CESM1-CAM5,2040-2059,4128.93,1123.90,1015.70,773.81,1215.90,2256.90,1874.70,402.99,327.15,378.16,341.94,295.59,224.92,247.72,301.17,376.63,428.68,410.60,393.39
THARGOMINDAH-AIRPORT,045025,-28.0,143.82,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3443.04,1319.50,769.12,407.15,946.95,2283.87,1159.43,522.97,362.77,351.55,254.15,163.43,110.97,124.66,180.55,266.65,322.20,358.10,434.07
TOTTINGTON,079079,-36.79,143.12,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1511.41,641.89,336.60,124.94,374.45,1072.08,382.79,248.58,204.11,167.03,106.20,63.37,33.65,38.23,53.06,76.47,124.57,179.97,235.82
TOWNSVILLE-AERO,032040,-19.25,146.77,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2601.73,704.37,612.13,511.94,774.50,1413.28,1190.27,261.62,198.30,236.93,205.81,169.40,152.90,159.67,199.37,234.08,274.85,265.57,253.16
WAGGA-WAGGA-AMO,072150,-35.16,147.46,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2000.55,904.90,456.19,157.05,485.28,1506.78,497.26,331.20,280.57,222.38,146.99,86.83,43.88,45.06,68.11,95.81,157.57,231.90,290.24
WEIPA-AERO,027045,-12.68,141.92,r1i1p1,rcp26,CESM1-CAM5,2040-2059,2496.88,497.80,548.31,642.97,808.23,1115.93,1382.43,189.02,138.47,168.72,186.27,193.33,189.13,209.20,244.64,260.59,285.55,262.08,193.41
WILLIAMTOWN-RAAF,061078,-32.79,151.84,r1i1p1,rcp26,CESM1-CAM5,2040-2059,1856.80,666.95,370.98,279.01,541.90,1153.28,705.69,244.10,197.26,158.32,121.96,90.70,79.63,86.25,113.13,143.87,192.10,205.92,233.41
WITTENOOM,005026,-22.24,118.34,r1i1p1,rcp26,CESM1-CAM5,2040-2059,3190.20,1063.29,677.03,448.67,993.97,1966.40,1215.73,373.16,308.72,278.93,237.59,160.52,125.80,137.69,185.18,255.00,364.29,407.82,388.65
